"sometimes push & pull movements while in 1st gear.  Try to avoid this problem.","3.75"
"good one to buy","5.00"
"Driving this car has been really comfortable. I have enjoyed driving this car everyday ar and not once did I feel tired or irritated. It performs well and the engine is good on performance and I get a good average which is consistently above 17kmpl. I maintain it well, that includes regular servi...","5.00"
"Kwid has all the features one would expect in an HATCHBACK. It is light and responsive on the road with an efficient engine, it looks pretty good from all sides, it has a lot of space, it has features touch screen nav, a 300 lt boot, good upholstery, Bluetooth connectivity etc.","4.00"
"The best entry level hatch in the market right now since it is pocket friendly, not as expensive even when it offers so many great features which other cars in the segment don’t. No cramming in the cabin, the dashboard is good with touch screen nav system. There is good insulation in the cabin so...","4.25"
"Kwid has a good cabin space and is well insulated. I am very happy that I bought this as it has a good performance. Me and my friends have travelled a lot in this car without any issues.","4.50"
"I have the top end RXT(O) variant of Kwid which is really a great car. It was my first choice after I test drove it, a good pick, good in terms of space, low on maintenance and easy to drive even in traffic. The car is very smooth and thanks to a good and light design, the steering is also light ...","4.00"
"My Renault Kwid is three months old and I have already reached the 2000 km mark and never have I faced any problem with it. This engine is performance oriented and no lag means that the driving and handling is pretty comfortable in the city as well as on the highways. The space and features are i...","4.75"
"I am really happy with my Kwid which I have been using since four months now. It is ideal for long drives and has never disappointed me. The after sales service was good and I am happy with how the driving of this car is. It never stresses me out. The performance is pretty good too.","4.50"
"I have Kwid top end variant RXT(O) and I have been using it since three months now. It is the best hatchback in the market and it fulfils all my needs since the most important need is the space. The cabin is spacious and the driving and handling even when the car is so big is really good. Low mai...","4.75"
"I have bought Kwid RXT(O) and I am one happy customer, thanks to this car I have been on many trips with family. I have enjoyed driving this car a lot and since it is a spacious car, I have never faced any space related issue. It is an ideal and affordable entry level hatch.","3.75"
"poor service, fake suspension, overall sorry dears bed mantenance. service center not sort out many probloms.","4.50"
"Till the booking they had constant followup with me but after sell we have to call them time and again.","2.50"
"Acceleration is not linear and requires engine tuning.","3.25"
"NYC car good job renault","3.75"
"Best in class and value for money if you want good mileage drive in top gear within 100 km. I added 18500rps petrol I rided 5k kilometres this is example I can give. I will calculate kilometres when each time I put fuel.   
Please don't write wring reviews many people go by others review i...","4.00"
"I really liked this car when it comes to looks and comfort, lots of space in the car, the interiors and dashboard is really good with nav system and the front grille makes it look like an SUV. in this price range it is a great option.","3.75"
"The best car in this segment when it comes to pricing and features, really liked the driving and handling in the city. on highways, it lacks a bit of power but that is ok when it comes to in city driving, it is pretty convenient.","5.00"
